日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%,
109/03/05,104 台北二,胡蘿蔔,16,12.5,6.4,12,-7,"8,950",6,107400
109/03/06,104 台北二,胡蘿蔔,19.1,13.9,8.7,13.9,16,"9,460",6,131494
109/03/07,104 台北二,胡蘿蔔,17.6,14,5.4,13,-6,"9,750",3,126750
109/03/08,104 台北二,胡蘿蔔,21.2,14.9,3.5,13.9,7,"10,380",6,144282
109/03/10,104 台北二,胡蘿蔔,18.2,14.3,6.6,13.5,-3,"11,760",13,158760
109/03/11,104 台北二,胡蘿蔔,19,15.4,6.2,14.3,6,"10,920",-7,156156
109/03/12,104 台北二,胡蘿蔔,17.6,13.3,7.2,13,-9,"12,070",11,156910
109/03/13,104 台北二,胡蘿蔔,15.8,12.6,5.6,11.8,-9,"12,460",3,147028
109/03/14,104 台北二,胡蘿蔔,17.3,13.4,6.7,12.8,8,"10,910",-12,139648
109/03/15,104 台北二,胡蘿蔔,18.3,14.9,8,14.2,11,"9,760",-11,138592
109/03/17,104 台北二,胡蘿蔔,19.9,15.7,9.7,15.4,8,"9,970",2,153538
109/03/18,104 台北二,胡蘿蔔,20.3,17.3,11.4,16.8,9,"8,920",-11,149856
109/03/19,104 台北二,胡蘿蔔,20.6,17.4,8.6,16.3,-3,"10,250",15,167075
109/03/20,104 台北二,胡蘿蔔,21,17.8,10.1,16.9,4,"10,490",2,177281
109/03/21,104 台北二,胡蘿蔔,20.6,18.2,9.9,17,1,"10,690",2,181730
109/03/22,104 台北二,胡蘿蔔,21.8,18.1,9.2,17,0,"10,850",1,184450
109/03/24,104 台北二,胡蘿蔔,23.6,19.5,11,18.6,9,"11,030",2,205158
109/03/25,104 台北二,胡蘿蔔,22.8,18.6,13.1,18.4,-1,"10,620",-4,195408
109/03/26,104 台北二,胡蘿蔔,21.3,17.4,10.9,16.9,-8,"11,500",8,194350
109/03/27,104 台北二,胡蘿蔔,17.5,16.4,10.7,15.5,-8,"11,620",1,180110
109/03/28,104 台北二,胡蘿蔔,19.7,16.8,12.7,16.6,7,"10,500",-10,174300
109/03/29,104 台北二,胡蘿蔔,17.2,13.9,6.9,13.2,-20,"12,810",22,169092
109/03/31,104 台北二,胡蘿蔔,18.7,15.4,5.6,14.1,7,"12,060",-6,170046
109/04/01,104 台北二,胡蘿蔔,20.4,14.8,7.6,14.4,2,"11,840",-2,170496
109/04/02,104 台北二,胡蘿蔔,19.8,15,5.4,14,-3,"11,970",1,167580
109/04/03,104 台北二,胡蘿蔔,24.6,17.7,7.6,17,21,"11,250",-6,191250
109/04/04,104 台北二,胡蘿蔔,20.6,17.3,7,15.9,-6,"8,780",-22,139602
109/04/07,104 台北二,胡蘿蔔,22.3,18.3,11.8,17.8,12,"11,170",27,198826
109/04/08,104 台北二,胡蘿蔔,22.9,18.5,13.6,18.4,3,"10,720",-4,197248
109/04/09,104 台北二,胡蘿蔔,21,17.8,13.2,17.5,-5,"11,370",6,198975
109/04/10,104 台北二,胡蘿蔔,20,17.2,9.6,16.2,-7,"11,780",4,190836
109/04/11,104 台北二,胡蘿蔔,21,16.6,6.6,15.5,-4,"11,860",1,183830
109/04/12,104 台北二,胡蘿蔔,20.5,16,7.3,15.2,-2,"12,590",6,191368
109/04/14,104 台北二,胡蘿蔔,22,17.2,9.6,16.6,9,"11,990",-5,199034
109/04/15,104 台北二,胡蘿蔔,21.4,16.6,6.7,15.6,-6,"12,090",1,188604
109/04/16,104 台北二,胡蘿蔔,20,17,8.2,15.9,2,"11,270",-7,179193
109/04/17,104 台北二,胡蘿蔔,20.1,16.6,8.9,15.8,-1,"12,390",10,195762
109/04/18,104 台北二,胡蘿蔔,21.6,16,7.7,15.5,-2,"13,080",6,202740
109/04/19,104 台北二,胡蘿蔔,19.3,15.3,5,14.1,-9,"12,500",-4,176250
109/04/21,104 台北二,胡蘿蔔,20.1,15.7,7.9,15,6,"12,170",-3,182550
109/04/22,104 台北二,胡蘿蔔,18.8,14.8,8.1,14.2,-5,"12,510",3,177642
109/04/23,104 台北二,胡蘿蔔,19.2,13.8,4.7,13,-8,"12,180",-3,158340
109/04/24,104 台北二,胡蘿蔔,17.5,13.2,7.8,13,0,"11,400",-6,148200
109/04/25,104 台北二,胡蘿蔔,18.3,11.9,4.2,11.6,-11,"11,340",-1,131544
109/04/26,104 台北二,胡蘿蔔,19.2,15,5.9,14,21,"9,080",-20,127120
109/04/28,104 台北二,胡蘿蔔,23.1,16.2,7,15.8,13,"9,040",0,142832
109/04/29,104 台北二,胡蘿蔔,24.7,17.1,4.6,16.1,2,"9,440",4,151984
109/04/30,104 台北二,胡蘿蔔,22.5,16.8,6.1,15.8,-2,"10,460",11,165268
109/05/01,104 台北二,胡蘿蔔,20.1,16,7.5,15.1,-4,"11,340",8,171234
109/05/02,104 台北二,胡蘿蔔,20.8,15.8,6,14.9,-1,"10,490",-7,156301
109/05/03,104 台北二,胡蘿蔔,20.4,15.4,5.9,14.5,-3,"9,120",-13,132240
109/05/05,104 台北二,胡蘿蔔,21.8,16.8,6.5,15.8,9,"9,700",6,153260
109/05/06,104 台北二,胡蘿蔔,21,16.3,6.9,15.4,-3,"9,400",-3,144760
109/05/07,104 台北二,胡蘿蔔,26.8,18,7.8,17.8,16,"11,050",18,196690
109/05/08,104 台北二,胡蘿蔔,25.8,17.6,7.8,17.3,-3,"11,190",1,193587
109/05/09,104 台北二,胡蘿蔔,26.7,19.2,8.7,18.6,8,"9,006",-20,167511.6
109/05/10,104 台北二,胡蘿蔔,27.3,16.5,8.8,17.1,-8,"8,020",-11,137142
109/05/12,104 台北二,胡蘿蔔,25.6,17.1,7.8,17,-1,"9,930",24,168810
109/05/13,104 台北二,胡蘿蔔,27.8,17.9,9.9,18.3,8,"9,950",0,182085
109/05/14,104 台北二,胡蘿蔔,27.9,17.4,9.5,18,-2,"13,250",33,238500
109/05/15,104 台北二,胡蘿蔔,26.1,16.9,8.8,17.1,-5,"12,356",-7,211287.6
109/05/16,104 台北二,胡蘿蔔,24.8,16.4,11.7,17.2,1,"11,470",-7,197284
109/05/17,104 台北二,胡蘿蔔,19.1,15,7.7,14.3,-17,"10,276",-10,146946.8
109/05/19,104 台北二,胡蘿蔔,27.5,16.6,10.4,17.5,22,"9,840",-4,172200
109/05/20,104 台北二,胡蘿蔔,21.5,17,9.4,16.4,-6,"9,150",-7,150060
109/05/21,104 台北二,胡蘿蔔,21.7,16.7,10.3,16.4,0,"9,220",1,151208
109/05/22,104 台北二,胡蘿蔔,20.2,16.3,9,15.6,-5,"9,000",-2,140400
109/05/23,104 台北二,胡蘿蔔,22.9,15.6,9.1,15.7,1,"8,700",-3,136590
109/05/24,104 台北二,胡蘿蔔,24.8,16.6,9.3,16.8,7,"7,400",-15,124320
109/05/26,104 台北二,胡蘿蔔,31.5,17,8.4,18.2,8,"10,570",43,192374
109/05/27,104 台北二,胡蘿蔔,30.6,16.9,8.3,17.9,-2,"11,510",9,206029
109/05/28,104 台北二,胡蘿蔔,24.1,15.6,5.6,15.3,-15,"11,880",3,181764
109/05/29,104 台北二,胡蘿蔔,24,15.7,5.8,15.4,1,"10,390",-13,160006
109/05/30,104 台北二,胡蘿蔔,24.7,17.2,4.7,16.2,5,"9,490",-9,153738
109/05/31,104 台北二,胡蘿蔔,29.3,15.6,6.2,16.4,1,"9,750",3,159900
109/06/02,104 台北二,胡蘿蔔,26.8,16.1,5.8,16.2,-1,"11,130",14,180306
109/06/03,104 台北二,胡蘿蔔,26.8,16.3,7.2,16.6,2,"9,250",-17,153550
109/06/04,104 台北二,胡蘿蔔,28,18,7.5,17.9,8,"8,820",-5,157878
109/06/05,104 台北二,胡蘿蔔,25.8,15.8,6,15.8,-12,"10,140",15,160212
109/06/06,104 台北二,胡蘿蔔,27.6,18,7.6,17.8,13,"8,950",-12,159310
109/06/07,104 台北二,胡蘿蔔,27.4,17.3,7.8,17.4,-2,"9,420",5,163908
109/06/09,104 台北二,胡蘿蔔,29.6,20,8.7,19.6,13,"8,550",-9,167580
109/06/10,104 台北二,胡蘿蔔,30.3,21.8,14.7,22.1,13,"7,750",-9,171275
109/06/11,104 台北二,胡蘿蔔,30,21.6,10.2,21,-5,"9,600",24,201600
109/06/12,104 台北二,胡蘿蔔,29.7,20.5,13.8,21,0,"9,160",-5,192360
109/06/13,104 台北二,胡蘿蔔,28.5,18.4,8.9,18.5,-12,"11,730",28,217005
109/06/14,104 台北二,胡蘿蔔,29.2,18.1,9,18.5,0,"9,390",-20,173715
109/06/16,104 台北二,胡蘿蔔,29,17.4,7.9,17.8,-4,"10,860",16,193308
109/06/17,104 台北二,胡蘿蔔,29.2,19.1,8.3,19,7,"9,370",-14,178030
109/06/18,104 台北二,胡蘿蔔,27.4,18.1,7.3,17.8,-6,"10,050",7,178890
109/06/19,104 台北二,胡蘿蔔,25.5,16.5,7.5,16.5,-7,"9,510",-5,156915
109/06/20,104 台北二,胡蘿蔔,27.7,16.7,5.7,16.7,1,"8,470",-11,141449
109/06/21,104 台北二,胡蘿蔔,26.7,19.4,7.8,18.5,11,"7,570",-11,140045
109/06/23,104 台北二,胡蘿蔔,31.4,19.8,10.7,20.3,10,"8,520",13,172956
109/06/24,104 台北二,胡蘿蔔,34.2,23.4,11,23.1,14,"9,300",9,214830
109/06/25,104 台北二,胡蘿蔔,32.9,20.2,10,20.7,-10,"10,970",18,227079
109/06/28,104 台北二,胡蘿蔔,32.3,19.5,12.7,20.7,0,"10,420",-5,215694
109/06/30,104 台北二,胡蘿蔔,29.3,20,12.6,20.4,-1,"10,310",-1,210324
109/07/01,104 台北二,胡蘿蔔,27.1,21.1,12.2,20.5,0,"8,610",-16,176505
109/07/02,104 台北二,胡蘿蔔,27.1,20.7,14.9,20.8,1,"8,650",0,179920
109/07/03,104 台北二,胡蘿蔔,26.2,19.4,13.1,19.5,-6,"9,140",6,178230
109/07/04,104 台北二,胡蘿蔔,25.7,19.1,14.2,19.4,-1,"9,040",-1,175376
109/07/05,104 台北二,胡蘿蔔,23.2,17.2,11.6,17.3,-11,"9,770",8,169021
109/07/07,104 台北二,胡蘿蔔,27.4,20,11.3,19.8,14,"8,850",-9,175230
109/07/08,104 台北二,胡蘿蔔,28.2,19.7,14.8,20.4,3,"7,410",-16,151164
109/07/09,104 台北二,胡蘿蔔,23.3,17.7,10.9,17.5,-14,"10,930",48,191275
109/07/10,104 台北二,胡蘿蔔,22.9,17.8,13.5,18,3,"10,580",-3,190440
109/07/11,104 台北二,胡蘿蔔,27.9,17.6,13.5,18.8,4,"9,450",-11,177660
109/07/12,104 台北二,胡蘿蔔,25,17.1,11.4,17.5,-7,"9,150",-3,160125
109/07/14,104 台北二,胡蘿蔔,22.5,17.5,10,17,-3,"10,670",17,181390
109/07/15,104 台北二,胡蘿蔔,26.4,17.8,13.5,18.7,10,"10,700",0,200090
109/07/17,104 台北二,胡蘿蔔,27.1,17.8,15.2,19.1,2,"11,170",4,213347
109/07/18,104 台北二,胡蘿蔔,25.7,17.1,13.7,18.1,-5,"10,290",-8,186249
109/07/19,104 台北二,胡蘿蔔,25.4,17.3,13.8,18.2,1,"9,010",-12,163982
109/07/21,104 台北二,胡蘿蔔,25.1,19,12.1,18.8,3,"9,910",10,186308
109/07/22,104 台北二,胡蘿蔔,23.9,18.3,12.3,18.2,-3,"9,340",-6,169988
109/07/23,104 台北二,胡蘿蔔,24.2,18,12,18,-1,"9,560",2,172080
109/07/24,104 台北二,胡蘿蔔,24.5,20.1,15,19.9,11,"7,350",-23,146265
109/07/25,104 台北二,胡蘿蔔,26.2,19.4,12.6,19.4,-3,"8,260",12,160244
109/07/26,104 台北二,胡蘿蔔,25.9,19.7,12.4,19.5,1,"6,880",-17,134160
109/07/28,104 台北二,胡蘿蔔,27.6,18.5,11.8,19,-3,"9,850",43,187150
109/07/29,104 台北二,胡蘿蔔,26.9,18.3,10.8,18.5,-3,"8,560",-13,158360
109/07/30,104 台北二,胡蘿蔔,25.8,18.8,11.7,18.8,2,"9,370",9,176156
109/07/31,104 台北二,胡蘿蔔,24.9,19.1,11.9,18.8,0,"9,400",0,176720
109/08/01,104 台北二,胡蘿蔔,24.6,18.7,11.1,18.4,-2,"9,940",6,182896
109/08/02,104 台北二,胡蘿蔔,23,18.2,10.2,17.6,-4,"9,390",-6,165264
109/08/04,104 台北二,胡蘿蔔,25.4,19.6,13.5,19.5,11,"9,410",0,183495
109/08/05,104 台北二,胡蘿蔔,26.2,18.9,13.1,19.2,-2,"9,380",0,180096
109/08/06,104 台北二,胡蘿蔔,25.6,19.3,12,19.1,-1,"7,740",-17,147834
109/08/07,104 台北二,胡蘿蔔,30.8,20.7,14.8,21.5,13,"6,970",-10,149855
109/08/08,104 台北二,胡蘿蔔,27.1,20.7,15,20.8,-3,"7,840",12,163072
109/08/09,104 台北二,胡蘿蔔,29.6,23.9,14.8,23.2,12,"7,060",-10,163792
109/08/11,104 台北二,胡蘿蔔,28.8,23.9,16.9,23.5,1,"7,590",8,178365
109/08/12,104 台北二,胡蘿蔔,31.1,24.1,13.6,23.4,0,"9,710",28,227214
109/08/14,104 台北二,胡蘿蔔,32.4,24.8,14.2,24.2,3,"9,520",-2,230384
109/08/15,104 台北二,胡蘿蔔,32.1,23.7,8,22.3,-8,"10,150",7,226345
109/08/16,104 台北二,胡蘿蔔,31.5,23.3,8,21.9,-2,"10,060",-1,220314
109/08/18,104 台北二,胡蘿蔔,30.7,22.7,9.4,21.6,-1,"11,170",11,241272
109/08/19,104 台北二,胡蘿蔔,29.9,22.6,5.7,20.7,-4,"10,420",-7,215694
109/08/20,104 台北二,胡蘿蔔,30.1,22.8,7.2,21.1,2,"9,880",-5,208468
109/08/21,104 台北二,胡蘿蔔,27.4,20.2,4.6,18.5,-12,"11,080",12,204980
109/08/22,104 台北二,胡蘿蔔,31.4,22.5,8.3,21.5,16,"7,890",-29,169635
109/08/23,104 台北二,胡蘿蔔,29.8,23.4,12.8,22.5,5,"7,170",-9,161325
109/08/25,104 台北二,胡蘿蔔,29.9,24.2,15.8,23.6,5,"7,590",6,179124
109/08/26,104 台北二,胡蘿蔔,32.5,24.7,12.5,23.8,1,"7,500",-1,178500
109/08/27,104 台北二,胡蘿蔔,29.4,24,14.4,23.2,-3,"8,210",9,190472
109/08/28,104 台北二,胡蘿蔔,27.6,22.4,9.6,20.9,-10,"8,910",9,186219
109/08/29,104 台北二,胡蘿蔔,28.9,23.7,12.2,22.5,8,"8,090",-9,182025
109/08/30,104 台北二,胡蘿蔔,29.4,22.2,13,21.8,-3,"8,990",11,195982
109/09/01,104 台北二,胡蘿蔔,35.2,25.1,13.4,24.8,14,"8,980",0,222704
109/09/02,104 台北二,胡蘿蔔,35.3,26.6,15.5,26.1,5,"9,560",6,249516
109/09/05,104 台北二,胡蘿蔔,36.6,26.5,15.6,26.4,1,"10,490",10,276936
109/09/06,104 台北二,胡蘿蔔,34.1,26.7,15.5,26,-2,"10,130",-3,263380
109/09/08,104 台北二,胡蘿蔔,39.8,28.9,15.4,28.4,9,"10,670",5,303028
109/09/09,104 台北二,胡蘿蔔,35.4,27.5,12.6,26.1,-8,"11,390",7,297279
109/09/10,104 台北二,胡蘿蔔,29.5,23.2,6.2,21,-20,"11,660",2,244860
109/09/11,104 台北二,胡蘿蔔,39.8,26,15.8,26.7,27,"9,450",-19,252315
109/09/12,104 台北二,胡蘿蔔,39,25,11.3,25.1,-6,"9,810",4,246231
109/09/13,104 台北二,胡蘿蔔,40.4,28.1,14.9,27.9,11,"7,945",-19,221665.5
109/09/15,104 台北二,胡蘿蔔,40,36,17.8,33.1,19,"10,444",31,345696.4
109/09/16,104 台北二,胡蘿蔔,40,33.6,21.7,32.5,-2,"8,580",-18,278850
109/09/17,104 台北二,胡蘿蔔,40,28.8,13.3,27.9,-14,"11,112",30,310024.8
109/09/18,104 台北二,胡蘿蔔,40.7,28.4,13.2,27.8,0,"9,060",-18,251868
109/09/19,104 台北二,胡蘿蔔,38.1,28.1,15.4,27.6,-1,"8,706",-4,240285.6
109/09/20,104 台北二,胡蘿蔔,37.1,28.5,16.4,27.8,1,"8,690",0,241582
109/09/22,104 台北二,胡蘿蔔,40,34.4,25.3,33.7,21,"13,834",59,466205.8
109/09/23,104 台北二,胡蘿蔔,40,31,23.7,31.3,-7,"11,226",-19,351373.8
109/09/25,104 台北二,胡蘿蔔,39.9,29.9,23.9,30.7,-2,"11,948",6,366803.6
109/09/26,104 台北二,胡蘿蔔,35,26,18.4,26.3,-14,"11,178",-6,293981.4
109/09/27,104 台北二,胡蘿蔔,37.6,26.6,19.4,27.4,4,"10,604",-5,290549.6
109/09/29,104 台北二,胡蘿蔔,40.8,34,21.4,32.8,20,"13,086",23,429220.8
109/09/30,104 台北二,胡蘿蔔,40,29.7,20.2,29.9,-9,"9,356",-29,279744.4
109/10/01,104 台北二,胡蘿蔔,40.3,31.2,21,31,4,"9,144",-2,283464
109/10/04,104 台北二,胡蘿蔔,40.2,33.8,18.4,32,3,"11,948",31,382336
109/10/06,104 台北二,胡蘿蔔,42.6,34.1,23.5,33.7,5,"11,644",-3,392402.8
109/10/07,104 台北二,胡蘿蔔,39,30.4,21.5,30.3,-10,"11,886",2,360145.8
109/10/08,104 台北二,胡蘿蔔,38.8,28,18.4,28.2,-7,"12,134",2,342178.8
109/10/09,104 台北二,胡蘿蔔,37.8,26,16.7,26.5,-6,"10,768",-11,285352
109/10/10,104 台北二,胡蘿蔔,37.9,26.9,16.4,27,2,"8,826",-18,238302
109/10/11,104 台北二,胡蘿蔔,38.2,25.4,15.9,26.1,-3,"9,016",2,235317.6
109/10/13,104 台北二,胡蘿蔔,40,33.5,15.2,31.1,19,"13,368",48,415744.8
109/10/14,104 台北二,胡蘿蔔,39.1,28.4,15.2,27.9,-10,"9,232",-31,257572.8
109/10/15,104 台北二,胡蘿蔔,37.3,27.2,15,26.8,-4,"8,816",-5,236268.8
109/10/16,104 台北二,胡蘿蔔,39.4,27.5,12.9,26.9,0,"8,524",-3,229295.6
109/10/17,104 台北二,胡蘿蔔,38.4,25.4,11.8,25.3,-6,"9,428",11,238528.4
109/10/18,104 台北二,胡蘿蔔,39.1,29.7,15.3,28.7,13,"8,506",-10,244122.2
109/10/20,104 台北二,胡蘿蔔,39.3,31.6,18.4,30.5,6,"11,556",36,352458
109/10/21,104 台北二,胡蘿蔔,39,28,13.2,27.2,-11,"10,090",-13,274448
109/10/22,104 台北二,胡蘿蔔,39.1,27.4,17.1,27.7,2,"10,572",5,292844.4
109/10/23,104 台北二,胡蘿蔔,37.4,25.4,12,25.1,-9,"11,166",6,280266.6
109/10/24,104 台北二,胡蘿蔔,39,27.4,12.1,26.7,6,"12,736",14,340051.2
109/10/25,104 台北二,胡蘿蔔,33.2,23.8,11.6,23.2,-13,"12,302",-3,285406.4
109/10/27,104 台北二,胡蘿蔔,39.2,24.8,9.7,24.6,6,"14,322",16,352321.2
109/10/28,104 台北二,胡蘿蔔,37.4,24.2,11.2,24.2,-2,"10,884",-24,263392.8
109/10/29,104 台北二,胡蘿蔔,36.8,23.8,13.3,24.3,0,"10,616",-2,257968.8
109/10/30,104 台北二,胡蘿蔔,33.6,20,9.4,20.6,-15,"11,746",11,241967.6
109/10/31,104 台北二,胡蘿蔔,30.7,19,8.7,19.3,-6,"11,226",-4,216661.8
109/11/01,104 台北二,胡蘿蔔,29.1,18.1,9.1,18.5,-4,"10,068",-10,186258
109/11/03,104 台北二,胡蘿蔔,34.9,24,14,24.2,31,"11,044",10,267264.8
109/11/04,104 台北二,胡蘿蔔,34.6,21.5,11.7,22.2,-8,"10,404",-6,230968.8
109/11/05,104 台北二,胡蘿蔔,33.9,20.4,11.6,21.4,-4,"11,014",6,235699.6
109/11/06,104 台北二,胡蘿蔔,33.6,22.4,12,22.6,6,"9,926",-10,224327.6
109/11/07,104 台北二,胡蘿蔔,32.9,21.6,11.9,21.9,-3,"10,184",3,223029.6
109/11/08,104 台北二,胡蘿蔔,33.6,21.6,10.2,21.7,-1,"11,172",10,242432.4
109/11/10,104 台北二,胡蘿蔔,33.9,21.6,10.9,21.9,1,"10,504",-6,230037.6
109/11/11,104 台北二,胡蘿蔔,35.5,26.6,15.5,26.2,20,"9,794",-7,256602.8
109/11/13,104 台北二,胡蘿蔔,34.3,22,12.9,22.6,-14,"14,340",46,324084
109/11/14,104 台北二,胡蘿蔔,34.4,22.6,10.2,22.5,0,"13,902",-3,312795
109/11/15,104 台北二,胡蘿蔔,30.8,19.5,10.5,20,-11,"11,754",-15,235080
109/11/17,104 台北二,胡蘿蔔,35.3,23.3,13.6,23.7,18,"11,614",-1,275251.8
109/11/18,104 台北二,胡蘿蔔,32.4,20.4,12.2,21.2,-11,"11,146",-4,236295.2
109/11/19,104 台北二,胡蘿蔔,34,22.6,11.9,22.8,8,"10,180",-9,232104
109/11/20,104 台北二,胡蘿蔔,33.5,19.7,11.1,20.7,-9,"9,846",-3,203812.2
109/11/21,104 台北二,胡蘿蔔,33.7,20.3,12.1,21.3,3,"10,390",6,221307
109/11/22,104 台北二,胡蘿蔔,34,19.2,10.8,20.4,-4,"10,232",-2,208732.8
109/11/24,104 台北二,胡蘿蔔,36.2,24,11.6,24,18,"12,918",26,310032
109/11/25,104 台北二,胡蘿蔔,35,19.1,8.5,20.1,-16,"12,240",-5,246024
109/11/26,104 台北二,胡蘿蔔,36.2,19.3,10.6,21,4,"10,424",-15,218904
109/11/27,104 台北二,胡蘿蔔,33.5,20,8.9,20.5,-2,"9,010",-14,184705
109/11/28,104 台北二,胡蘿蔔,33.3,19.3,9.5,20.1,-2,"10,432",16,209683.2
109/11/29,104 台北二,胡蘿蔔,30.4,18.5,9,19,-5,"9,974",-4,189506
109/12/01,104 台北二,胡蘿蔔,33.1,22.7,11.9,22.6,19,"10,448",5,236124.8
109/12/02,104 台北二,胡蘿蔔,32.4,18.4,9.2,19.3,-15,"12,292",18,237235.6
109/12/03,104 台北二,胡蘿蔔,31.9,19.3,6.7,19.3,0,"12,156",-1,234610.8
109/12/04,104 台北二,胡蘿蔔,32.5,18.9,8.9,19.6,2,"10,768",-11,211052.8
109/12/05,104 台北二,胡蘿蔔,30.2,18.7,7.5,18.8,-4,"11,598",8,218042.4
109/12/06,104 台北二,胡蘿蔔,28.9,20.3,7.7,19.5,4,"10,942",-6,213369
109/12/08,104 台北二,胡蘿蔔,32.1,23.9,12.4,23.3,19,"11,524",5,268509.2
109/12/09,104 台北二,胡蘿蔔,30.4,20.4,9.3,20.1,-14,"10,874",-6,218567.4
109/12/10,104 台北二,胡蘿蔔,31,23.6,13.1,23,14,"11,772",8,270756
109/12/11,104 台北二,胡蘿蔔,30.5,20.7,12.6,21.1,-8,"11,354",-4,239569.4
109/12/12,104 台北二,胡蘿蔔,30.4,20.2,11.8,20.6,-2,"11,766",4,242379.6
109/12/13,104 台北二,胡蘿蔔,30,20.5,11.4,20.6,0,"11,318",-4,233150.8
109/12/15,104 台北二,胡蘿蔔,31,22.2,12.4,22,7,"14,922",32,328284
109/12/16,104 台北二,胡蘿蔔,30.2,20.5,12.1,20.7,-6,"12,804",-14,265042.8
109/12/17,104 台北二,胡蘿蔔,28.1,20.1,12,20.1,-3,"9,560",-25,192156
109/12/18,104 台北二,胡蘿蔔,27.1,19.4,12.6,19.6,-2,"10,850",13,212660
109/12/19,104 台北二,胡蘿蔔,26.4,19,11.1,18.9,-4,"10,490",-3,198261
109/12/20,104 台北二,胡蘿蔔,26.2,17,9.5,17.4,-8,"11,390",9,198186
109/12/22,104 台北二,胡蘿蔔,25.7,17.2,8.3,17.1,-2,"13,910",22,237861
109/12/23,104 台北二,胡蘿蔔,25.4,17.9,10.3,17.9,5,"13,220",-5,236638
109/12/24,104 台北二,胡蘿蔔,22.4,16,8.2,15.8,-12,"14,450",9,228310
109/12/25,104 台北二,胡蘿蔔,20.1,13.9,8.2,14,-11,"13,910",-4,194740
109/12/26,104 台北二,胡蘿蔔,19.8,13.4,7.2,13.4,-4,"13,290",-4,178086
109/12/27,104 台北二,胡蘿蔔,22.2,15.5,7.6,15.3,14,"8,990",-32,137547
109/12/29,104 台北二,胡蘿蔔,22.5,16.7,7.6,16,5,"10,190",13,163040
109/12/30,104 台北二,胡蘿蔔,24.6,17.4,9.9,17.4,9,"9,150",-10,159210
109/12/31,104 台北二,胡蘿蔔,21.4,16.5,8.6,15.9,-9,"10,370",13,164883
110/01/01,104 台北二,胡蘿蔔,21.1,16.6,9.3,16,1,"11,200",8,179200
110/01/02,104 台北二,胡蘿蔔,21,16.6,9.2,16,0,"11,450",2,183200
110/01/03,104 台北二,胡蘿蔔,21.1,15.4,9.7,15.4,-4,"11,500",0,177100
110/01/05,104 台北二,胡蘿蔔,19.8,16.5,9.6,15.8,3,"12,240",6,193392
110/01/06,104 台北二,胡蘿蔔,18.3,15.1,8.5,14.4,-9,"12,940",6,186336
110/01/07,104 台北二,胡蘿蔔,17.8,14.4,7.4,13.7,-5,"11,670",-10,159879
110/01/08,104 台北二,胡蘿蔔,17.4,13.4,7.4,13,-5,"12,900",11,167700
110/01/09,104 台北二,胡蘿蔔,18.7,14.4,5,13.4,3,"11,250",-13,150750
110/01/10,104 台北二,胡蘿蔔,17.9,14.9,8.8,14.3,7,"12,420",10,177606
110/01/12,104 台北二,胡蘿蔔,19.9,16.7,10.1,16,12,"13,260",7,212160
110/01/13,104 台北二,胡蘿蔔,21.4,18.4,8.3,17,6,"14,750",11,250750
110/01/15,104 台北二,胡蘿蔔,20.6,17.5,7.5,16.2,-5,"16,350",11,264870
110/01/16,104 台北二,胡蘿蔔,21.1,16.5,7.5,15.6,-4,"17,840",9,278304
110/01/17,104 台北二,胡蘿蔔,20.2,14.8,7.2,14.3,-8,"17,600",-1,251680
110/01/19,104 台北二,胡蘿蔔,19.5,15.9,7.8,15,5,"16,260",-8,243900
110/01/20,104 台北二,胡蘿蔔,17.5,14.9,6.6,13.8,-8,"15,290",-6,211002
110/01/21,104 台北二,胡蘿蔔,16.2,14.1,8.3,13.4,-3,"13,400",-12,179560
110/01/22,104 台北二,胡蘿蔔,15.5,13.4,7.5,12.6,-6,"13,770",3,173502
110/01/23,104 台北二,胡蘿蔔,15.1,12.8,8.1,12.3,-2,"12,970",-6,159531
110/01/24,104 台北二,胡蘿蔔,15.8,13,6.9,12.3,0,"11,640",-10,143172
110/01/26,104 台北二,胡蘿蔔,16.7,13.6,8.1,13.1,7,"11,730",1,153663
110/01/27,104 台北二,胡蘿蔔,15.8,13.4,8,12.8,-2,"11,250",-4,144000
110/01/28,104 台北二,胡蘿蔔,15.1,12.2,7.6,11.9,-7,"11,900",6,141610
110/01/29,104 台北二,胡蘿蔔,14.6,12.1,6.9,11.6,-3,"11,510",-3,133516
110/01/30,104 台北二,胡蘿蔔,15.2,11.4,6.5,11.2,-3,"11,150",-3,124880
110/01/31,104 台北二,胡蘿蔔,14.7,11.1,5.8,10.8,-4,"10,940",-2,118152
110/02/02,104 台北二,胡蘿蔔,17.7,13.9,7.6,13.4,24,"11,180",2,149812
110/02/03,104 台北二,胡蘿蔔,15.6,13.3,7.2,12.5,-7,"11,950",7,149375
110/02/04,104 台北二,胡蘿蔔,19.1,14.3,8.5,14.1,13,"11,830",-1,166803
110/02/06,104 台北二,胡蘿蔔,22.7,17.8,9.5,17.1,21,"14,480",22,247608
110/02/07,104 台北二,胡蘿蔔,20.8,17,9.4,16.2,-5,"15,970",10,258714
110/02/08,104 台北二,胡蘿蔔,19.5,14.9,8.6,14.6,-10,"17,120",7,249952
110/02/09,104 台北二,胡蘿蔔,18.3,14.5,10.4,14.4,-1,"15,650",-9,225360
110/02/10,104 台北二,胡蘿蔔,16.7,12.8,10.4,13.1,-9,"12,860",-18,168466
